域名,pop3,smtp,imap,端口,,
qq.com,pop.qq.com,smtp.qq.com,imap.qq.com,143,,
vip.qq.com,pop.qq.com,smtp.qq.com,imap.qq.com,143,,
qqmail.com,pop.qqmail.com,smtp.qqmail.com,,,,
foxmail.com.cn,pop.foxmail.com.cn,smtp.foxmail.com.cn,,,,
foxmail.com,pop.foxmail.com,smtp.foxmail.com,,,,
移动139.com,pop.139.com,smtp.139.com,,,,
天翼189.cn,pop.189.cn,smtp.189.cn,,,,
联通wo.com.cn,pop.wo.com.cn,smtp.wo.com.cn,,,,
ruyi.com,pop.ruyi.com,smtp.ruyi.com,,,,
51.com,210.77.145.189,,,,,
21cn.com,pop.21cn.com,smtp.21cn.com,imap.21cn.com,143,,
sina.com,pop3.sina.com.cn,smtp.sina.com.cn,,,,
263.sina.com,pop3.263.sina.com,smtp.263.sina.com,,,,
vip.sina.com,pop3.vip.sina.com,smtp.vip.sina.com,,,,
sina.cn,pop3.vip.sina.com,smtp.vip.sina.com,,,,
my3ia.sina.com,pop3.my3ia.sina.com,smtp.my3ia.sina.com,,,,
sina100.com,pop3.sina100.com,smtp.sina100.com,,,,
163.net,pop.163.net,smtp.163.net,,,,
tom.com,pop.tom.com,smtp.tom.com,,,,
163.com,pop.163.com,smtp.163.com,,,,
vip.163.com,pop.vip.163.com,smtp.vip.163.com,,,,
126.com,pop3.126.com,smtp.126.com,,,,
yeah.net,pop.yeah.net,smtp.yeah.net,,,,
netease.com,pop.netease.com,smtp.netease.com,,,,
56.com,pop3.56.com,smtp.56.com,,,,
188.com,pop.188.com,smtp.188.com,,,,
gmail.com,pop.gmail.com,smtp.gmail.com,imap.gmail.com,995,465,993
fm365.com,mail.fm365.com,mail.fm365.com,,,,
263.net,263.net,smtp.263.net,,,,
x263.net,pop.x263.net,smtp.x263.net,,,,
263.net.cn,263.net.cn,263.net.cn,,,,
elong.com,pop3.elong.com,smtp.elong.com,,,,
chinaren.com,pop.chinaren.com,,,,,
km169.net,email.km169.net,email.km169.net,,,,
cmmail.com,pop3.cmmail.com,smtp.cmmail.com,,,,
china.com,pop.china.com,smtp.china.com,,,,
cww.com,pop.china.com,smtp.china.com,,,,
eazier.com,pop.easier.com,smtp.eazier.com,,,,
sohu.com,pop3.sohu.com,smtp.sohu.com,,,,
vip.sohu.com,pop3.vip.sohu.com,smtp.vip.sohu.com,,,,
sohu.net,pop3.sohu.net,smtp.sohu.net,,,,
fd21.com,pop.fd21.com,smtp.fd21.com,,,,
online.sh.cn,pop.citiz.net,smtp.citiz.net,,,,
etang.com,pop.free.etang.com,smtp.free.etang.com,,,,
myrice.com,pop.myrice.com,smtp.myrice.com,,,,
wx88.net,mail.wx88.net,mail.wx88.net,,,,
email.com.cn,www.email.com.cn,www.email.com.cn,,,,
cn99.com,pop.cn99.com,,,,,
tonghua.com.cn,pop3.tonghua.com.cn,smtp.tonghua.com.cn,,,,
china1mail.com,mail.china1mail.com,,,,,
371.net,371.net,smtp.371.net,,,,
kali.com.cn,pop.kali.com.cn,smtp.kali.com.cn,,,,
focus.com.cn,pop3.focus.com.cn,smtp.focus.com.cn,,,,
8848.net,pop.8848.net,smtp.8848.net,,,,
ucs.com.tw,210.66.17.1,,,,,
mailbox.com.cn,email.com.cn,email.com.cn,,,,
990.net,pop.990.net,990.net,,,,
88998.com,202.100.222.86,202.100.222.86,,,,
ctn.com.cn,mail.ctn.com.cn,,,,,
2911.net,pop.2911.net,smtp.2911.net,,,,
soim.net,freemail.soim.com,freemail.soim.com,,,,
sh.soim.com,sh.soim.com,,,,,
777.net.cn,mail.777.net.cn,mail.777.net.cn,,,,
telekbird.com.cn,pop.telekbird.com.cn,smtp.telekbird.com.cn,,,,
btamail.net.cn,btamail.net.cn,btamail.net.cn,,,,
chinanew.com,chinanew.com,,,,,
gzyp21.net,gzyp21.net,gzyp21.net,,,,
freemail.online.tj.cn,freemail.online.tj.cn,freemail.online.tj.cn,,,,
363.net,363.net,smtp.363.net,,,,
w4f.com,pop.email.com.cn,smtp.email.com.cn,,,,
dl163.com,www.dl163.com,www.dl163.com,,,,
chinaxian.com,www.email.com.cn,www.email.com.cn,,,,
2888.com,2888.com,2888.com,,,,
yes100.com,pop.yes100.com,smtp.yes100.com,,,,
chinese.com,pop.chinese.com,smtp.chinese.com,,,,
yifan.net,yifan.net,yifan.net,,,,
china183.com,mail.china183.com,mail.china183.com,,,,
20520.com,pop.20520.com,smtp.20520.com,,,,
elawchina.com,pop3.elawchina.com,smtp.elawchina.com,,,,
fugao.net,pop.email.com.cn,smtp.email.com.cn,,,,
mybada.net,pop.mybada.net,smtp.mybada.net,,,,
gz168.net,email.gz168.net,email.gz168.net,,,,
kzinfo.net,mail.kzinfo.net,mail.kzinfo.net,,,,
7119.net,7119.net,smtp.7119.net,,,,
ccidnet.com,pop.ccident.com,smtp.ccident.com,,,,
cfe21.com,www.cfe21.com,www.cfe21.com,,,,
etang.com,pop.etang.com,smtp.etang.com,,,,
hnet.com.cn,pop.email.com.cn,smtp.email.com.cn,,,,
nethao.com,freemail.nethao.com,freemail.nethao.com,,,,
soyou.net,pop.soyou.net,smtp.soyou.net,,,,
newstar.com.cn,pop.emai.com.cn,smtp.email.com.cn,,,,
cityhot.com,citymail.cityhot.com,citymail.cityhot.com,,,,
dfworld.net,mail.dfworld.net,mail.dfworld.net,,,,
gzboy.com,www.email.com.cn,www.email.com.cn,,,,
fengyun.net,freemail.fengyun.net,freemail.fengyun.net,,,,
citiz.net,pop.citiz.net,smtp.citiz.net,,,,
tt.zj.cn,pop.email.com.cn,smtp.email.com.cn,,,,
100m.hl.cninfo.net,100m.hl.cninfo.net,100m.hl.cninfo.net,,,,
dg.163mail.net,dg.163mail.net,dg.163mail.net,,,,
public.guangzhou.gd.cn,smtp.public.guangzhou.gd.cn,public.guangzhou.gd.cn,,,,
bodachina.com,bodachina.com,smtp.bodachina.com,,,,
freemail.nx.cninfo.net,freemail.nx.cninfo.net,freemail.nx.cninfo.net,,,,
softhome.net,pop.SoftHome.net,smtp.SoftHome.net,,,,
yesky.com,pop.yesky.com,smtp.yesky.com,,,,
alibaba.com,pop.alibaba.com,smtp.alibaba.com,,,,
mweb.com.cn,pop3.mweb.com.cn,smtp.mweb.com.cn,,,,
21cn.net,pop.21cn.net,smtp.21cn.net,,,,
cnuninet.com,pop.bj.cnuninet.com,smtp.bj.cnuninet.com,,,,
w.cn,pop3.live.com,smtp.live.com,995,,,
pku.edu.cn,water.pku.edu.cn,water.pku.edu.cn,,,,
yimeier.net,pop.www.yimeier.net,smtp.www.yimeier.net,,,,
Sogou.com,pop3.mail.sogou.com,smtp.mail.sogou.com,,,,
yahoo.com.br,pop.mail.yahoo.com.br,smtp.mail.yahoo.com.br,,,,
yahoo.fr,pop.mail.yahoo.fr,smtp.mail.yahoo.fr,,,,
yahoo.es,pop.mail.yahoo.es,smtp.mail.yahoo.es,,,,
hotmail.com,pop3.live.com,smtp.live.com,995,,,
wocall.com,wocall.com,wocall.com,,,,
yahoo.com.hk,pop.mail.yahoo.com.hk,smtp.mail.yahoo.com.hk,,,,
yahoo.no,pop.mail.yahoo.no,smtp.mail.yahoo.no,,,,
mailandnews.com,mailandnews.com,mailandnews.com,,,,
campusall.com,pop3.campusall.com,smtp.campusall.com,,,,
zj.com,pop.zj.com,smtp.zj.com,,,,
peoplemail.com.cn,pop.peoplemail.com.cn,smtp.peoplemail.com.cn,,,,
citiz.net,pop.citiz.net,smtp.citiz.net,,,,
thmz.com,pop.thmz.com,smtp.thmz.com,,,,
yahoo.it,pop.mail.yahoo.it,smtp.mail.yahoo.it,,,,
stedu.cn,pop.stedu.net,smtp.stedu.net,,,,
cmmail.com,pop3.cmmail.com,smtp.cmmail.com,,,,
msn.com,pop3.live.com,smtp.live.com,995,,,
yahoo.com,pop.mail.yahoo.com,smtp.mail.yahoo.com,,,,
yahoo.ca,pop.mail.yahoo.ca,smtp.mail.yahoo.ca,,,,
gzpublic.guangzhou.gd.cn,gzpublic.guangzhou.gd.cn,gzpublic.guangzhou.gd.cn,,,,
yahoo.com.ar,pop.mail.yahoo.com.ar,smtp.mail.yahoo.com.ar,,,,
ce.cn,freemail.ce.cn,freemail.ce.cn,,,,
yahoo.com.tw,pop.mail.yahoo.com.tw,smtp.mail.yahoo.com.tw,,,,
yahoo.de,pop.mail.yahoo.de,smtp.mail.yahoo.de,,,,
vip.citiz.net,vip.citiz.net,vip.citiz.net,,,,
yahoo.com.au,pop.mail.yahoo.com.au,smtp.mail.yahoo.com.au,,,,
yahoo.co.jp,pop.mail.yahoo.co.jp,smtp.mail.yahoo.co.jp,,,,
km169.net,email.km169.net,email.km169.net,,,,
bjmail.net,bjmail.net,bjmail.net,,,,
tianya.cn,pop3.tianya.cn,smtp.tianya.cn,,,,
guohao.com,guohao.com,guohao.com,,,,
live.cn,pop3.live.com,smtp.live.com,995,,,
avl.com.cn,pop.avl.com.cn,smtp.avl.com.cn,,,,
vip.km169.net,vip.km169.net,vip.km169.net,,,,
stu.edu.cn,pop.stu.edu.cn,smtp.stu.edu.cn,,,,
yahoo.co.uk,pop.mail.yahoo.co.uk,smtp.mail.yahoo.co.uk,,,,
yahoo.se,pop.mail.yahoo.se,smtp.mail.yahoo.se,,,,
live.com,pop3.live.com,smtp.live.com,995,,,
39.net,pop3.39.net,smtp.39.net,,,,
9.cn,pop3.live.com,smtp.live.com,995,,,
yahoo.co.kr,pop.mail.yahoo.co.kr,smtp.mail.yahoo.co.kr,,,,
hzdtv.com,mail.hzdtv.com,mail.hzdtv.com,,,,
yahoo.com.cn,pop.mail.yahoo.com.cn,smtp.mail.yahoo.com.cn,,,,
yahoo.dk,pop.mail.yahoo.dk,smtp.mail.yahoo.dk,,,,
sh163.net,mail.sh163.net,mail.sh163.net,,,,
51uc.com,pop3.51uc.comSMTP,,,,,
yahoo.com.mx,pop.mail.yahoo.com.mx,smtp.mail.yahoo.com.mx,,,,
